Company,Sector,Quarter,AI Mentions,Total Segments,AI Intensity %,Top Category,Who Brought It Up,Quantified Impact,Best Quote,Speaker
FDS,Financial Exchanges & Data,2025Q3,9,62,14.5,Internal Automation,Both (6E/3A),Yes,"asset manager choosing us to replace their legacy research management system, thanks to our advanced dashboard and GenAI capabilities.",Phil Snow
FDS,Financial Exchanges & Data,2025Q4,29,59,49.2,Internal Automation,Both (22E/7A),Yes,"AI and data-driven innovation are transforming how financial institutions operate, invest, and serve clients, which is driving increased demand for quality data.",Sanoke Viswanathan
FICO,Application Software,2023Q1,0,62,0.0,,,No,,
FICO,Application Software,2023Q2,2,49,4.1,AI-Enhanced Feature,Executive,Yes,"In our Software division, our FICO platform leverages analytics and AI to support smarter business decisions at scale.",William Lansing
FICO,Application Software,2024Q2,0,42,0.0,,,No,,
FICO,Application Software,2024Q3,0,64,0.0,,,No,,
FICO,Application Software,2024Q4,1,69,1.4,AI Infrastructure,Executive,Yes,"In the year, we delivered new FICO Platform capabilities, created new IP using responsible AI methods and announced the upcoming launch of FICO Score mortgage simulator.",Will Lansing
FICO,Application Software,2025Q1,2,103,1.9,AI Infrastructure,Executive,Yes,Our innovative work using blockchain technology for responsible AI model governance yielded the Tech of the Future Blockchain and Tokenization Award at the Banking Tech Awards and won a Software Category Transformative Product Award at the Big Innovation Awards.,Will Lansing
FICO,Application Software,2025Q2,2,86,2.3,AI-Native Product,Executive,Yes,"This quarter, we announced a partnership with dacadoo to bring AI-powered precision to the life insurance industry.",Will Lansing
FAST,Trading Companies & Distributors,2023Q4,0,42,0.0,,,No,,
FAST,Trading Companies & Distributors,2024Q1,0,60,0.0,,,No,,
FAST,Trading Companies & Distributors,2024Q2,1,51,2.0,Internal Automation,Executive,Yes,"I also want to congratulate our technology team for their work on our AI-related projects, which we refer to as Fastenal Intelligence, emphasizing our proprietary data.",Daniel Florness
FAST,Trading Companies & Distributors,2024Q3,0,41,0.0,,,No,,
FAST,Trading Companies & Distributors,2024Q4,0,33,0.0,,,No,,
FRT,Retail REITs,2023Q3,0,58,0.0,,,No,,
FRT,Retail REITs,2023Q4,0,71,0.0,,,No,,
FRT,Retail REITs,2024Q1,0,55,0.0,,,No,,
FRT,Retail REITs,2024Q2,3,65,4.6,Internal Automation,Executive,Yes,"Lease-up at Santana West continues with a newly signed deal with an AI-powered cloud database provider for 24,000 square feet on the first floor of the state-of-the-art building.",Donald Wood
FRT,Retail REITs,2024Q3,0,49,0.0,,,No,,
FDX,Air Freight & Logistics,2023Q3,0,72,0.0,,,No,,
FDX,Air Freight & Logistics,2023Q4,2,70,2.9,Internal Automation,Executive,Yes,This includes a new network operating plan that uses machine learning to develop more detailed and accurate volume forecasts.,Raj Subramaniam
FDX,Air Freight & Logistics,2024Q1,0,68,0.0,,,No,,
FDX,Air Freight & Logistics,2024Q2,0,48,0.0,,,No,,
FDX,Air Freight & Logistics,2024Q3,0,65,0.0,,,No,,
FIS,Transaction & Payment Processing Services,2023Q3,0,36,0.0,,,No,,
FIS,Transaction & Payment Processing Services,2023Q4,0,35,0.0,,,No,,
FIS,Transaction & Payment Processing Services,2024Q1,0,4,0.0,,,No,,
FIS,Transaction & Payment Processing Services,2024Q2,1,66,1.5,Internal Automation,Executive,Yes,"One key area we discussed on the call was how to leverage GenAI and automation across the company’s functions to lower costs, enhance customer service, and create new revenue sources.",James Kehoe
FIS,Transaction & Payment Processing Services,2024Q3,1,56,1.8,AI-Native Product,Executive,Yes,"We continue to execute across treasury and risk with solid sales and risk management and continued product innovation, including soon to launch next generation treasury solutions in partnership with market leading AI companies.",Stephanie Ferris
FITB,Regional Banks,2023Q3,1,65,1.5,AI-Enhanced Feature,Executive,Yes,"They include innovative operational deposit-oriented products like Momentum Banking, AI-driven customer acquisition strategies, and the top quartile customer service model in addition to our investments in new branches.",Timothy Spence
FITB,Regional Banks,2023Q4,0,62,0.0,,,No,,
FITB,Regional Banks,2024Q1,1,62,1.6,AI-Enhanced Feature,Executive,No,"Whether it's through the cloud platforms we're implementing to enhance processing efficiency or leveraging AI, we must reduce overhead costs.",Tim Spence
FITB,Regional Banks,2024Q2,1,63,1.6,Internal Automation,Executive,No,"And in particular now with the explosion in data centers that are going to be required to support AI and otherwise, a lot of very power-intensive commercial applications.",Tim Spence
FITB,Regional Banks,2024Q3,0,60,0.0,,,No,,
FSLR,Semiconductors,2023Q1,0,28,0.0,,,No,,
FSLR,Semiconductors,2023Q2,0,28,0.0,,,No,,
FSLR,Semiconductors,2023Q3,0,34,0.0,,,No,,
FSLR,Semiconductors,2023Q4,0,15,0.0,,,No,,
FSLR,Semiconductors,2024Q1,1,30,3.3,AI Infrastructure,Analyst,No,"But just curious on your updated thoughts on what you're seeing and expecting for bookings for the remainder of the year now that policy seems to be moving in your favor, and you've also got growing demand for clean energy in some of the AI data center markets that you guys had alluded to earlier in",Andrew Percoco
FSLR,Semiconductors,2024Q2,1,28,3.6,AI-Enhanced Feature,Executive,Yes,"Underlying fundamentals related to fossil fuel retirements, the movement towards electrification, utility and corporate demand for clean energy, scrutiny of environmental impact, and social consciousness of supply chain providers and load growth, especially related to AI-driven data center demand, a",Mark Widwar
FSLR,Semiconductors,2024Q3,0,21,0.0,,,No,,
FSLR,Semiconductors,2024Q4,1,18,5.6,AI-Native Product,Executive,Yes,"His administration's goals of accelerating economic growth, reducing inflation, establishing global energy dominance, bringing American manufacturing jobs back and championing innovation, including artificial intelligence require abundant stable power generation.",Mark Widmar
FE,Electric Utilities,2023Q4,0,92,0.0,,,No,,
FE,Electric Utilities,2024Q1,0,66,0.0,,,No,,
FE,Electric Utilities,2024Q2,0,87,0.0,,,No,,
FE,Electric Utilities,2024Q3,1,64,1.6,Internal Automation,Executive,Yes,Analysts forecast that data center and AI share of U.S.,Brian Tierney
FE,Electric Utilities,2024Q4,0,79,0.0,,,No,,
F,Automobile Manufacturers,2023Q4,0,60,0.0,,,No,,
F,Automobile Manufacturers,2024Q1,0,37,0.0,,,No,,
F,Automobile Manufacturers,2024Q2,1,42,2.4,AI-Native Product,Executive,Yes,Our vehicles are increasingly general-purpose computers capable of delivering the type of application environment and AI for our customers and user experiences that we expect from all of our digital devices.,Jim Farley
F,Automobile Manufacturers,2024Q3,0,33,0.0,,,No,,
F,Automobile Manufacturers,2024Q4,2,57,3.5,AI-Enhanced Feature,Both (1E/1A),Yes,"To realize this multi-billion dollar upside opportunity on cost, we will stay focused on the following areas: faster identification of defects and issues in the field; deploying dedicated teams into our supply base to help them improve key manufacturing disciplines to improve their part quality to u",Jim Farley
FTNT,Systems Software,2024Q1,5,45,11.1,Internal Automation,Both (4E/1A),Yes,Our Unified SASE and new AI offerings dominated the discussion with our partners and customers.,Ken Xie
FTNT,Systems Software,2024Q2,2,68,2.9,AI-Enhanced Feature,Executive,Yes,"AI-driven Secure Operations accounted for 10% of total billings in the second quarter, up 1 point.",Ken Xie
FTNT,Systems Software,2024Q3,1,77,1.3,AI-Native Product,Executive,Yes,"Our commitment to innovation and investment in R&D has enabled us to expand FortiAI, our GenAI system, into 7 key solutions.",Ken Xie
FTNT,Systems Software,2024Q4,6,71,8.5,AI Infrastructure,Executive,Yes,"AI-driven secure operations accounted for 11% of total billings, while AR grew 32%.",Ken Xie
FTNT,Systems Software,2025Q1,3,100,3.0,AI-Enhanced Feature,Both (2E/1A),Yes,"AI-driven secure operations building increased by 29%, accounting for 10% of our business as customers continue to consolidate multiple security vendors on our integrated and AI-enhanced Forti Fabric solution.",Ken Xie
FTV,Industrial Machinery & Supplies & Components,2023Q4,3,61,4.9,Internal Automation,Executive,Yes,"Our operating companies are seeing a greater than 20% acceleration in software development time through the use of Gen AI, improving our ability to deliver more value to customers.",James Lico
FTV,Industrial Machinery & Supplies & Components,2024Q1,5,73,6.8,AI Infrastructure,Both (4E/1A),Yes,"Fortive Software System is improving our feature on-time delivery as our operating companies are seeing a greater than 20% acceleration in software development time using Gen AI, creating bandwidth for higher value work and enabling faster innovation for our customers.",Jim Lico
FTV,Industrial Machinery & Supplies & Components,2024Q2,4,109,3.7,Internal Automation,Both (2E/2A),Yes,"AI has also been a key enabler to our success, although we are still in the early innings.",Charles McLaughlin
FTV,Industrial Machinery & Supplies & Components,2024Q3,3,103,2.9,AI-Native Product,Executive,Yes,"Recovery is being led by investments supporting AI applications, particularly from customers like NVIDIA and TSMC.",James Lico
FTV,Industrial Machinery & Supplies & Components,2024Q4,1,53,1.9,AI-Native Product,Executive,Yes,"They're also leveraging our investments in the form of developing advanced software, data analytics, and AI capabilities, and we expect to launch new AI-based product sets in 2025 and 2026.",Charles McLaughlin
FOXA,Broadcasting,2023Q2,0,33,0.0,,,No,,
FOXA,Broadcasting,2023Q3,0,24,0.0,,,No,,
FOXA,Broadcasting,2023Q4,0,30,0.0,,,No,,
FOXA,Broadcasting,2024Q1,1,18,5.6,AI-Enhanced Feature,Executive,Yes,"During the quarter, Tubi introduced Rabbit AI, a ChatGPT-4 powered recommendation engine to help users navigate this incredible range of titles.",Lachlan Murdoch
FOXA,Broadcasting,2024Q2,0,29,0.0,,,No,,
FOX,Broadcasting,2023Q1,0,36,0.0,,,No,,
FOX,Broadcasting,2023Q2,0,33,0.0,,,No,,
FOX,Broadcasting,2023Q3,0,17,0.0,,,No,,
FOX,Broadcasting,2023Q4,0,20,0.0,,,No,,
FOX,Broadcasting,2024Q1,1,24,4.2,AI-Enhanced Feature,Executive,Yes,"During the quarter, Tubi introduced Rabbit AI, a Chat GPT-4 powered recommendation engine to help users navigate this incredible range of titles.",Lachlan Murdoch
FOX,Broadcasting,2025Q4,0,29,0.0,,,No,,
BEN,Asset Management & Custody Banks,2023Q1,0,73,0.0,,,No,,
BEN,Asset Management & Custody Banks,2023Q2,0,78,0.0,,,No,,
BEN,Asset Management & Custody Banks,2023Q3,3,74,4.1,Internal Automation,Both (2E/1A),Yes,"Their focus has been on industrial space, data centers, and things like that, which with AI, frankly, will only get bigger and more in demand, but also multifamily.",Jennifer Johnson
BEN,Asset Management & Custody Banks,2023Q4,0,71,0.0,,,No,,
BEN,Asset Management & Custody Banks,2024Q3,1,56,1.8,AI-Native Product,Executive,Yes,The two big themes of artificial intelligence and inflation drove growth stocks to outperform value stocks in the first half of the calendar year.,Jennifer M. Johnson
BEN,Asset Management & Custody Banks,2024Q4,2,39,5.1,AI-Native Product,Executive,Yes,"Our investment teams benefit from Franklin Templeton's deep resources and scale with centralized investments in distribution, marketing, data, and innovative technologies like blockchain and artificial intelligence.",Jenny Johnson
BEN,Asset Management & Custody Banks,2025Q1,2,38,5.3,Internal Automation,Executive,Yes,We've seen signs of this starting to play out in the December quarter and more pronounced this week as DeepSeek raised questions about the race to capture value from AI.,Jenny Johnson
BEN,Asset Management & Custody Banks,2025Q2,1,44,2.3,AI-Native Product,Executive,Yes,"The so-called deep-seek moment sparked questions around the need for AI-related spending, contributing to a pullback in previously high-flying areas.",Jenny Johnson
BEN,Asset Management & Custody Banks,2025Q3,1,40,2.5,Internal Automation,Executive,Yes,"From our legacy as pioneers in international and income investing to leadership in emerging areas like AI, tokenization, and blockchain, we're committed to keeping our clients on the forefront of investment opportunities across markets and technologies globally.",Jennifer M. Johnson
FCX,Copper,2024Q1,0,69,0.0,,,No,,
FCX,Copper,2024Q2,0,52,0.0,,,No,,
FCX,Copper,2024Q3,1,46,2.2,Internal Automation,Executive,Yes,"In the US, our customers continue to report strong demand for power cable and building wire associated with substantial investment in electrical infrastructure and AI data centers.",Kathleen Quirk
FCX,Copper,2024Q4,2,69,2.9,AI Infrastructure,Executive,Yes,"In the U.S., our customers are reporting solid demand for power cable and building wire associated with substantial investment in electrical infrastructure and AI data centers.",Kathleen Quirk
GRMN,Consumer Electronics,2023Q2,2,54,3.7,Uncategorized,Both (1E/1A),No,"In terms of AI, we've been using AI techniques in our products and in our algorithms on both cloud-based applications and on our devices for quite a while.",Clifton Pemble
GRMN,Consumer Electronics,2023Q3,0,57,0.0,,,No,,
GRMN,Consumer Electronics,2023Q4,0,60,0.0,,,No,,
GRMN,Consumer Electronics,2024Q1,0,44,0.0,,,No,,
GRMN,Consumer Electronics,2024Q2,2,62,3.2,Internal Automation,Both (1E/1A),No,"We look at AI as a potential business tool, and we're doing some of that.",Clifton Pemble
IT,IT Consulting & Other Services,2023Q1,3,55,5.5,Internal Automation,Both (2E/1A),Yes,"In the first quarter, we helped clients in a range of topics, including cybersecurity, data analytics, artificial intelligence, remote work, cost optimization and more.",Gene Hall
IT,IT Consulting & Other Services,2023Q2,6,52,11.5,AI Infrastructure,Both (4E/2A),Yes,"In the second quarter, we helped clients with a wide range of topics, including cybersecurity, data analytics, artificial intelligence, remote work, cost optimization, and more.",Gene Hall
IT,IT Consulting & Other Services,2023Q3,1,68,1.5,Vague/Buzzword,Executive,Yes,"In the third quarter, we continued to help clients with a wide range of topics such as cybersecurity, data analytics, artificial intelligence, remote work, cost optimization, and more.",Gene Hall
IT,IT Consulting & Other Services,2023Q4,5,64,7.8,Uncategorized,Both (4E/1A),Yes,"And we saw a significant leap in the capabilities of artificial intelligence, or AI, which fueled even more complexity.",Gene Hall
IT,IT Consulting & Other Services,2025Q2,12,60,20.0,Internal Automation,Both (7E/5A),Yes,"First, AI is an important opportunity for Gartner across several dimensions.",Eugene A. Hall
IT,IT Consulting & Other Services,2025Q3,6,72,8.3,Internal Automation,Both (4E/2A),Yes,AI will be one of the most innovative and pervasive technologies in history.,Eugene Hall
IT,IT Consulting & Other Services,2025Q4,8,52,15.4,Internal Automation,Both (7E/1A),Yes,Funding changes affected our state and local government and education clients; tech companies that are not in or adjacent to AI experienced a shifting landscape.,Eugene Hall
GE,Aerospace & Defense,2023Q1,0,50,0.0,,,No,,
GE,Aerospace & Defense,2023Q2,0,58,0.0,,,No,,
GE,Aerospace & Defense,2023Q3,0,70,0.0,,,No,,
GE,Aerospace & Defense,2023Q4,0,44,0.0,,,No,,
GE,Aerospace & Defense,2025Q2,1,32,3.1,Internal Automation,Executive,Yes,"And now we're deploying AI-enabled tools to further improve inspection accuracy and consistency, helping to predict potential safety threats.",H. Lawrence Culp
GE,Aerospace & Defense,2025Q3,0,39,0.0,,,No,,
GE,Aerospace & Defense,2025Q4,0,57,0.0,,,No,,
GEHC,Health Care Equipment,2023Q1,2,23,8.7,Internal Automation,Executive,Yes,"We continue to focus on patients and customer-centric innovation, especially digital and artificial intelligence solutions.",Helmut Zodl
GEHC,Health Care Equipment,2023Q2,7,56,12.5,Internal Automation,Both (5E/2A),Yes,"Some areas where we’ve invested include photon counting, next-gen MR, and artificial intelligence optimized interventional cardiology.",Peter Arduini
GEHC,Health Care Equipment,2024Q1,2,59,3.4,AI-Native Product,Executive,Yes,We're also focused on advancing cancer research and creating AI to address some of the biggest challenges in cancer care.,Peter Arduini
GEHC,Health Care Equipment,2024Q2,4,55,7.3,Internal Automation,Executive,Yes,"In July, we made two important announcements to develop proprietary AI tools to help expedite clinical and operational efficiencies.",Peter Arduini
GEHC,Health Care Equipment,2024Q3,6,55,10.9,Internal Automation,Both (5E/1A),Yes,This includes exciting research in AI and cloud technologies that Pete will talk more about later.,Jay Saccaro
GEHC,Health Care Equipment,2024Q4,1,65,1.5,AI-Native Product,Executive,Yes,"What sets us apart is the way we bring together our holistic offering which includes a comprehensive and integrated portfolio of AI-powered equipment, proprietary retail, pharmaceuticals, and services enabled by our digital capabilities.",Peter Arduini
GEHC,Health Care Equipment,2025Q1,1,61,1.6,AI-Native Product,Executive,Yes,Our product roadmap is increasingly focused on accelerating recurring revenue with demand for digital and AI across our ultrasound and IGT product portfolios.,Jay Saccaro
GEV,Heavy Electrical Equipment,2024Q1,2,45,4.4,AI Infrastructure,Analyst,No,"We're now getting inbounds from not just the normal players, electrification, but tech company executives, tech company investors trying to lever into the themes of AI and data center growth.",James West
GEV,Heavy Electrical Equipment,2024Q2,0,35,0.0,,,No,,
GEV,Heavy Electrical Equipment,2025Q4,3,45,6.7,Internal Automation,Executive,Yes,"Our investments in automation and robotics are advancing at scale, and AI is starting to gain momentum in our engineering organizations and back-office functions.",Scott Strazik
GEN,Systems Software,2023Q1,1,27,3.7,AI-Native Product,Executive,Yes,"Advanced strength in privacy and NortonLifeLock's strength in identity, supported by our combined AI capabilities, creates a broad and complementary product portfolio beyond core security and towards adjacent trust-based solutions.",Vincent Pilette
GEN,Systems Software,2023Q2,0,24,0.0,,,No,,
GEN,Systems Software,2023Q3,0,25,0.0,,,No,,
GEN,Systems Software,2023Q4,0,29,0.0,,,No,,
GEN,Systems Software,2025Q2,4,56,7.1,Uncategorized,Both (3E/1A),Yes,Those trends are here to stay and are being enhanced by the use or misuse of AI.,Vincent Pilette
GEN,Systems Software,2025Q3,4,38,10.5,AI-Enhanced Feature,Executive,Yes,Our proprietary AI engine continuously trains on the extensive data sets and real-life scams submitted by our users catching the newest threats with almost 100% efficacy.,Vincent Pilette
GEN,Systems Software,2025Q4,4,29,13.8,AI-Enhanced Feature,Both (3E/1A),Yes,"Our accelerating top-line growth was underpinned by a record non-GAAP operating margin of 58.4%, reflecting strong cost control and continued operational efficiencies, including leveraging AI in and for our product portfolio.",Vincent Pilette
GNRC,Electrical Components & Equipment,2025Q1,0,46,0.0,,,No,,
GNRC,Electrical Components & Equipment,2025Q2,1,46,2.2,AI-Native Product,Executive,Yes,"These mission-critical solutions are a necessary part of the substantial investment in data centers, which are enabling the accelerated adoption of artificial intelligence.",Aaron P. Jagdfeld
GNRC,Electrical Components & Equipment,2025Q3,1,36,2.8,AI Infrastructure,Executive,Yes,"However, electricity prices and demand are rising, outpacing inflation in many areas and likely to increase further as AI-related energy demands emerge.",Aaron P. Jagdfeld
GD,Aerospace & Defense,2024Q2,0,96,0.0,,,No,,
GD,Aerospace & Defense,2024Q3,0,79,0.0,,,No,,
GD,Aerospace & Defense,2025Q1,1,107,0.9,AI-Native Product,Executive,Yes,"Their focus on advanced technology enabling autonomous platforms, smart munitions, subsea warfare and strategic deterrence, as well as advanced AI, cloud, cyber, 5G, and quantum solutions is driving demand for the group.",Phebe Novakovic
GD,Aerospace & Defense,2025Q2,1,66,1.5,AI-Native Product,Executive,Yes,"We are pleased with the results we are seeing from the investments we've made in our portfolio of digital accelerators, capabilities that enable customers to quickly leverage AI, cyber, and mission software technologies, and our deepening relationships with strategic and emerging technology partners",Marguerite Amy Gilliland
GD,Aerospace & Defense,2025Q3,1,63,1.6,Internal Automation,Executive,No,"Specifically, DDIT has had an exceptionally strong book-to-bill ratio, exceeding 2:1 this quarter, and continues to secure robust bookings as their investments in cyber, Zero Trust environments, and AI start to yield results.",Phebe Novakovic
GD,Aerospace & Defense,2025Q4,2,90,2.2,Uncategorized,Both (1E/1A),No,You mean a Gulfstream AI-driven?,Phebe Novakovic
GIS,Packaged Foods & Meats,2023Q1,0,62,0.0,,,No,,
GIS,Packaged Foods & Meats,2023Q2,0,48,0.0,,,No,,
GIS,Packaged Foods & Meats,2024Q4,0,61,0.0,,,No,,
GIS,Packaged Foods & Meats,2025Q1,0,77,0.0,,,No,,
GIS,Packaged Foods & Meats,2025Q2,0,4,0.0,,,No,,
GIS,Packaged Foods & Meats,2025Q3,0,38,0.0,,,No,,
GIS,Packaged Foods & Meats,2025Q4,0,50,0.0,,,No,,
GM,Automobile Manufacturers,2024Q2,2,72,2.8,AI-Native Product,Executive,Yes,And every mile traveled and every simulation brings us closer because Cruise is an AI-first company.,Mary Barra
GM,Automobile Manufacturers,2024Q3,1,84,1.2,AI Infrastructure,Analyst,Yes,"If you did like a look back last 12 months between EV, AV, ICE, new products, new capacities, how that might be shifting with the 12 months forward, at least a rate of change or proportion, particularly specifically with respect to some of the AI-related infrastructure that might be coming in?",Adam Jonas
GM,Automobile Manufacturers,2024Q4,1,45,2.2,Uncategorized,Executive,No,"And I think even with what we saw yesterday, there is so much happening from an artificial intelligence perspective of how we move forward.",Mary Barra
GM,Automobile Manufacturers,2025Q1,5,55,9.1,AI-Native Product,Both (3E/2A),Yes,"And finally, we're continuing to deploy AI solutions across the business.",Mary Barra
GM,Automobile Manufacturers,2025Q2,2,59,3.4,Internal Automation,Both (1E/1A),Yes,"We are also embracing AI across the enterprise, which is why we recruited Google and Cisco veteran, Barack Tawawski, to lead our efforts under Apple veteran, Dave Richardson, who leads software and services engineering.",Mary Barra
GPC,Distributors,2023Q4,0,58,0.0,,,No,,
GPC,Distributors,2024Q1,0,41,0.0,,,No,,
GPC,Distributors,2024Q2,0,51,0.0,,,No,,
GPC,Distributors,2024Q3,0,45,0.0,,,No,,
GPC,Distributors,2024Q4,1,59,1.7,Internal Automation,Executive,Yes,And we're now leveraging machine learning and automation to help our catalog continuously improve itself without the need for manual data entry.,Will Stengel
GILD,Biotechnology,2023Q2,0,50,0.0,,,No,,
GILD,Biotechnology,2023Q3,0,20,0.0,,,No,,
GILD,Biotechnology,2023Q4,0,45,0.0,,,No,,
GILD,Biotechnology,2024Q1,0,57,0.0,,,No,,
GILD,Biotechnology,2024Q2,0,38,0.0,,,No,,
GPN,Transaction & Payment Processing Services,2023Q2,0,59,0.0,,,No,,
GPN,Transaction & Payment Processing Services,2023Q3,1,68,1.5,AI-Native Product,Executive,Yes,"The vertically fluent capabilities we offer customers include mobile POS and Pin on Glass solutions, guest and table management, ordering kitchen management, pricing matrices, discounting functionality, cash discount programs, predictive analytics, AI driven marketing and loyalty programs and human ",Cameron Bready
GPN,Transaction & Payment Processing Services,2023Q4,1,52,1.9,Internal Automation,Executive,Yes,"Clients using this solution have realized a nearly 50% reduction in fraud losses, and we are evaluating a number of development opportunities that use generative AI across our issuing and acquiring businesses as a key component of our next-generation applications to further combat fraud and identity",Cameron Bready
GPN,Transaction & Payment Processing Services,2024Q1,0,47,0.0,,,No,,
GPN,Transaction & Payment Processing Services,2024Q2,0,58,0.0,,,No,,
GL,Life & Health Insurance,2023Q1,0,77,0.0,,,No,,
GL,Life & Health Insurance,2023Q2,0,66,0.0,,,No,,
GL,Life & Health Insurance,2023Q3,0,78,0.0,,,No,,
GL,Life & Health Insurance,2023Q4,0,59,0.0,,,No,,
GL,Life & Health Insurance,2024Q4,1,71,1.4,Uncategorized,Analyst,No,You said average agent count at AI would be mid-single digit.,Andrew Kligerman
GL,Life & Health Insurance,2025Q1,0,81,0.0,,,No,,
GL,Life & Health Insurance,2025Q2,0,73,0.0,,,No,,
GL,Life & Health Insurance,2025Q3,0,47,0.0,,,No,,
GL,Life & Health Insurance,2025Q4,2,50,4.0,Uncategorized,Both (1E/1A),Yes,The potential for disruption from AI has been a consideration for our investment team for several years and is factored into their evaluation of the bonds we invest in.,Frank Svoboda
GDDY,Internet Services & Infrastructure,2024Q4,9,108,8.3,Internal Automation,Both (5E/4A),Yes,"Additionally, we started testing Aero Site Designer for WordPress, an AI-powered web design tool.",Aman Bhutani
GDDY,Internet Services & Infrastructure,2025Q1,6,77,7.8,Internal Automation,Both (4E/2A),Yes,Airo has already shown its powers to automate and use Generative AI to provide magical experiences for customers.,Aman Bhutani
GDDY,Internet Services & Infrastructure,2025Q2,11,58,19.0,Internal Automation,Both (9E/2A),Yes,"Remarkably, nearly 100% of the code was generated by AI and guided by a senior engineer.",Amanpal Singh Bhutani
GDDY,Internet Services & Infrastructure,2025Q3,19,62,30.6,Internal Automation,Both (11E/8A),Yes,We also delivered normalized EBITDA margin of 32% and increased our AI investment and capabilities with new products ready for launch.,Amanpal Bhutani
GS,Investment Banking & Brokerage,2024Q4,2,50,4.0,Internal Automation,Both (1E/1A),Yes,"Lastly, we are leveraging AI solutions to scale and transform our engineering capabilities, simplifying and modernizing our technology stack, and driving productivity.",David Solomon
GS,Investment Banking & Brokerage,2025Q1,1,58,1.7,AI-Native Product,Executive,Yes,"As an example, we are leveraging AI solutions to scale and transform our engineering capabilities as well as to simplify and modernize our technology stack.",David Solomon
GS,Investment Banking & Brokerage,2025Q2,4,63,6.3,Internal Automation,Both (2E/2A),Yes,"As we continue to invest in further strengthening and growing our franchise, I am encouraged by the widespread progress being made in AI, which is quickly developing into an economic force that will permeate every industry.",David Solomon
GS,Investment Banking & Brokerage,2025Q3,3,52,5.8,Internal Automation,Both (2E/1A),Yes,"Scale and investing for growth remain paramount, especially in the context of harnessing AI capabilities.",David Solomon
GS,Investment Banking & Brokerage,2025Q4,0,13,0.0,,,No,,
HAL,Oil & Gas Equipment & Services,2024Q4,1,59,1.7,Internal Automation,Executive,Yes,I believe the most pressing energy problem in North America today is the power shortage driven by electrification and power demand for AI.,Jeff Miller
HAL,Oil & Gas Equipment & Services,2025Q1,2,79,2.5,Uncategorized,Both (1E/1A),No,"It represents a combination of several technologies, including the capability to read the reservoir, control the equipment, and analyze data in real time, effectively responding even faster than real time with AI technology to determine the optimal flow for sand and water.",Jeff Miller
HAL,Oil & Gas Equipment & Services,2025Q2,0,63,0.0,,,No,,
HAL,Oil & Gas Equipment & Services,2025Q3,4,74,5.4,AI Infrastructure,Both (3E/1A),Yes,"Last week, VoltaGrid announced an agreement to deploy 2.3 gigawatts of generation capacity to support Oracle's next-generation artificial intelligence data centers.",Jeffrey Miller
HAL,Oil & Gas Equipment & Services,2025Q4,0,82,0.0,,,No,,
HIG,Property & Casualty Insurance,2024Q3,0,90,0.0,,,No,,
HIG,Property & Casualty Insurance,2024Q4,0,62,0.0,,,No,,
HIG,Property & Casualty Insurance,2025Q1,2,40,5.0,AI Infrastructure,Executive,Yes,"Looking ahead, we are expanding digital capabilities leveraging AI, enhancing our product offering, and entering new markets to better serve customers.",Christopher J. Swift
HIG,Property & Casualty Insurance,2025Q2,3,64,4.7,Internal Automation,Both (2E/1A),Yes,Our AI-driven underwriting logic suggests coverages based on business type and reflects the judgment of our most experienced underwriters.,Christopher Jerome Swift
HIG,Property & Casualty Insurance,2025Q3,1,27,3.7,AI-Enhanced Feature,Executive,Yes,"These results reflect the power of our underwriting expertise, AI-driven capabilities, and strong digital platforms built on years of strategic investments.",Christopher Swift
HAS,Leisure Products,2024Q2,0,61,0.0,,,No,,
HAS,Leisure Products,2024Q3,0,56,0.0,,,No,,
HAS,Leisure Products,2024Q4,1,62,1.6,AI-Native Product,Executive,Yes,"Partnership, our fourth building block will continue to be a huge part of our story with projects in the work spanning everything from new toy collaborations, new universes beyond partners with MAGIC, new video game partnerships, AI-enabled games and toys and major new location-based entertainment i",Chris Cocks
HAS,Leisure Products,2025Q1,0,72,0.0,,,No,,
HAS,Leisure Products,2025Q2,0,53,0.0,,,No,,
HCA,Health Care Facilities,2024Q1,0,58,0.0,,,No,,
HCA,Health Care Facilities,2024Q2,0,72,0.0,,,No,,
HCA,Health Care Facilities,2024Q3,3,69,4.3,Uncategorized,Both (2E/1A),No,"So, we yesterday actually presented our full plan on our digital agenda and how we are approaching advancing technology, and in particular AI, into the company's business over the next five to seven years, and we see many opportunities to improve our administrative functioning, our operational manag",Sam Hazen
HCA,Health Care Facilities,2024Q4,1,88,1.1,Internal Automation,Executive,Yes,"We're already seeing early signs of success with how AI can improve aspects of our organization, administratively, operationally inside of our facilities, and we think clinically as well.",Sam Hazen
HCA,Health Care Facilities,2025Q1,2,77,2.6,Uncategorized,Both (1E/1A),No,"We have three areas that we think we can benefit our business using better digital tools, using automation, and using AI.",Sam Hazen
HCA,Health Care Facilities,2025Q2,0,63,0.0,,,No,,
DOC,Health Care REITs,2024Q2,0,83,0.0,,,No,,
DOC,Health Care REITs,2024Q3,0,100,0.0,,,No,,
DOC,Health Care REITs,2024Q4,0,112,0.0,,,No,,
DOC,Health Care REITs,2025Q1,0,107,0.0,,,No,,
DOC,Health Care REITs,2025Q2,9,95,9.5,AI Infrastructure,Both (7E/2A),Yes,"The new platform will improve the integration and availability of data, increase productivity, and provide a foundation for rapid deployment of additional AI capabilities.",Scott M. Brinker
